run_id,timestamp,result,goal_x,goal_y,goal_yaw_deg,duration_sec,distance_traveled_m,loc_mean_abs_err_x_m,loc_mean_abs_err_y_m,loc_mean_abs_err_z_m,loc_rmse_x_m,loc_rmse_y_m,loc_rmse_z_m,loc_rmse_3d_m,depth_mean_abs_rel,depth_mean_rmse_m,depth_mean_mae_m,depth_mean_a1,num_pose_samples,num_depth_samples
4,2026-02-12 16:06:06,SUCCEEDED,20.0000,-6.0000,-16.7,112.60,21.4866,0.025735,0.013000,0.001116,0.028320,0.016359,0.001389,0.032734,0.006863,0.092765,0.030270,0.998127,1294,478
5,2026-02-12 16:10:31,SUCCEEDED,27.0000,12.0000,68.7,107.57,20.3643,0.014854,0.024365,0.010221,0.017781,0.030157,0.011591,0.036878,0.006483,0.072341,0.030147,0.999676,1345,488
6,2026-02-12 16:14:41,SUCCEEDED,35.0000,25.0000,37.6,100.13,18.6295,0.015869,0.022227,0.021720,0.020383,0.028719,0.022492,0.041787,0.008207,0.147360,0.043824,0.994921,1283,456
7,2026-02-12 16:18:48,SUCCEEDED,34.0000,40.0000,106.7,98.07,15.8628,0.023658,0.027854,0.030320,0.026468,0.030209,0.030584,0.050483,0.007448,0.089135,0.032233,0.998113,1281,454
8,2026-02-12 16:25:03,SUCCEEDED,14.0000,45.0000,171.5,150.50,29.6276,0.052474,0.080483,0.012325,0.058265,0.086909,0.013699,0.105526,0.007410,0.093850,0.033596,0.998918,1925,693
10,2026-02-12 09:43:36,SUCCEEDED,20.0000,-6.0000,-16.7,112.53,21.6142,0.036653,0.015361,0.003893,0.044009,0.022489,0.004923,0.049667,0.006558,0.097067,0.029623,0.998115,1315,479
11,2026-02-12 09:47:46,SUCCEEDED,27.0000,12.0000,68.7,100.60,19.9831,0.016876,0.025190,0.013815,0.019929,0.028462,0.016209,0.038341,0.006484,0.080701,0.030868,0.999672,1282,459
12,2026-02-12 09:51:58,SUCCEEDED,35.0000,25.0000,37.6,100.80,18.7375,0.017058,0.031540,0.012611,0.020602,0.041902,0.015355,0.049153,0.011842,0.245506,0.069155,0.990443,1295,464
13,2026-02-12 09:55:57,SUCCEEDED,34.0000,40.0000,106.7,95.70,16.0684,0.038353,0.048720,0.004130,0.043571,0.053444,0.007097,0.069319,0.009835,0.165533,0.050314,0.994143,1186,437
14,2026-02-12 10:06:47,SUCCEEDED,20.0000,-6.0000,-16.7,109.80,21.5903,0.026407,0.017422,0.004718,0.028505,0.020600,0.006226,0.035716,0.006693,0.086428,0.029951,0.998540,1184,472
15,2026-02-12 10:10:58,SUCCEEDED,27.0000,12.0000,68.7,103.50,20.3769,0.015234,0.025715,0.022049,0.021411,0.034378,0.022909,0.046531,0.006453,0.071746,0.029693,0.999589,1266,460
16,2026-02-12 10:14:59,SUCCEEDED,35.0000,25.0000,37.6,97.03,18.5526,0.021720,0.022658,0.039936,0.026699,0.029776,0.040644,0.057021,0.008266,0.143149,0.043881,0.994985,1197,444
17,2026-02-12 10:18:55,SUCCEEDED,34.0000,40.0000,106.7,95.03,16.1397,0.015168,0.020616,0.055943,0.018167,0.023513,0.056133,0.063512,0.007014,0.070448,0.030028,0.998512,1172,435
18,2026-02-12 10:24:46,SUCCEEDED,14.0000,45.0000,171.5,143.90,29.5373,0.022567,0.052248,0.045391,0.030277,0.063090,0.048291,0.085024,0.007796,0.076911,0.035038,0.999524,1768,647
19,2026-02-12 10:32:26,SUCCEEDED,20.0000,-6.0000,-16.7,111.40,21.6088,0.030285,0.010685,0.002210,0.032195,0.014683,0.002728,0.035490,0.006886,0.106916,0.031645,0.998288,1317,479
20,2026-02-12 10:36:49,SUCCEEDED,27.0000,12.0000,68.7,106.17,20.9080,0.020047,0.041122,0.009542,0.025118,0.047519,0.011328,0.054930,0.006215,0.078890,0.029991,0.999519,1344,488
21,2026-02-12 10:40:53,SUCCEEDED,35.0000,25.0000,37.6,97.00,18.1971,0.016031,0.025265,0.015744,0.019114,0.032526,0.016031,0.040991,0.011590,0.239870,0.067157,0.992189,1257,451
22,2026-02-12 10:44:40,SUCCEEDED,34.0000,40.0000,106.7,89.47,15.3544,0.037324,0.020766,0.009055,0.040202,0.023929,0.010139,0.047870,0.008711,0.112474,0.041543,0.997654,1161,420
23,2026-02-12 10:48:24,ABORTED,14.0000,45.0000,171.5,90.67,14.7914,3.830016,7.403127,0.007520,9.835232,19.226156,0.008564,21.595762,0.011685,0.214495,0.067518,0.991861,1129,411
24,2026-02-12 11:36:11,SUCCEEDED,20.0000,-6.0000,-16.7,109.07,21.4637,0.033029,0.013897,0.003895,0.035023,0.017079,0.004354,0.039208,0.005329,0.054349,0.024370,0.999857,1143,466
25,2026-02-12 11:40:17,SUCCEEDED,27.0000,12.0000,68.7,101.07,20.2568,0.012560,0.033196,0.011144,0.016806,0.041990,0.012025,0.046799,0.006321,0.048747,0.028217,1.000000,1212,451
26,2026-02-12 11:43:30,SUCCEEDED,35.0000,25.0000,37.6,80.47,16.1947,0.016901,0.033618,0.028906,0.021329,0.040045,0.029726,0.054242,0.008747,0.137519,0.046921,0.995036,1010,347
27,2026-02-12 11:44:00,ABORTED,34.0000,40.0000,106.7,12.13,0.0074,34.558712,24.821385,0.003038,34.558712,24.821385,0.003039,42.548863,0.001018,0.006944,0.004413,1.000000,139,51
28,2026-02-12 11:44:31,ABORTED,14.0000,45.0000,171.5,12.13,0.0079,34.559068,24.821225,0.002950,34.559068,24.821225,0.002955,42.549059,0.001078,0.007656,0.004742,1.000000,131,52
16,2026-02-13 12:57:34,SUCCEEDED,20.0000,-6.0000,-16.7,112.93,21.3667,0.043016,0.012920,0.004212,0.051000,0.021367,0.005379,0.055556,0.005742,0.061782,0.026388,0.999779,1320,474
17,2026-02-13 13:01:55,SUCCEEDED,27.0000,12.0000,68.7,106.13,20.2325,0.016095,0.029952,0.020372,0.020063,0.033457,0.022206,0.044889,0.006354,0.064434,0.029515,0.999958,1360,478
18,2026-02-13 13:05:21,SUCCEEDED,35.0000,25.0000,37.6,83.30,16.5105,0.012679,0.018338,0.045003,0.016135,0.019639,0.045717,0.052307,0.011379,0.213354,0.065277,0.993009,1092,375
19,2026-02-13 13:08:56,SUCCEEDED,34.0000,40.0000,106.7,87.40,16.3916,0.026812,0.032969,0.070382,0.030486,0.039813,0.070798,0.086757,0.007382,0.082732,0.035429,0.999843,1125,390
20,2026-02-13 13:10:43,ABORTED,14.0000,45.0000,171.5,43.40,3.9646,7.977121,10.292931,0.064523,16.151273,20.870328,0.073033,26.390141,0.007494,0.114883,0.038208,0.999035,557,189
34,2026-02-12 12:54:20,SUCCEEDED,20.0000,-6.0000,-16.7,110.47,21.3101,0.020100,0.009737,0.003225,0.022704,0.012328,0.004011,0.026144,0.005450,0.074468,0.023567,0.998561,1617,480
35,2026-02-12 12:59:44,SUCCEEDED,27.0000,12.0000,68.7,103.37,20.4374,0.021599,0.014978,0.015407,0.025986,0.019885,0.018373,0.037527,0.006058,0.069288,0.028088,0.999650,1522,449
36,2026-02-12 13:04:45,SUCCEEDED,35.0000,25.0000,37.6,95.83,18.0950,0.030761,0.015182,0.048744,0.033410,0.020957,0.050023,0.063701,0.008161,0.142989,0.043223,0.995157,1466,411
37,2026-02-12 13:09:36,SUCCEEDED,34.0000,40.0000,106.7,92.77,15.5233,0.054259,0.015637,0.061762,0.055603,0.019011,0.061985,0.085412,0.007273,0.093507,0.031531,0.998179,1436,392
38,2026-02-12 13:47:09,SUCCEEDED,20.0000,-6.0000,-16.7,110.60,21.4431,0.019521,0.008693,0.002188,0.021774,0.010992,0.002634,0.024533,0.006604,0.090716,0.029278,0.998537,1485,475
39,2026-02-12 13:52:35,SUCCEEDED,27.0000,12.0000,68.7,105.03,20.3789,0.018202,0.021619,0.017381,0.022199,0.026226,0.020346,0.039932,0.005761,0.076702,0.028124,0.999621,1536,476
40,2026-02-12 13:56:53,SUCCEEDED,35.0000,25.0000,37.6,91.57,17.3283,0.019308,0.019823,0.062078,0.023910,0.025923,0.063516,0.072650,0.010041,0.214035,0.058570,0.993807,1205,431
41,2026-02-12 14:01:17,ABORTED,34.0000,40.0000,106.7,94.67,18.0908,0.013568,0.014051,0.089404,0.014958,0.015894,0.089632,0.092251,0.007648,0.080421,0.032282,0.998364,1212,444
42,2026-02-12 14:24:48,SUCCEEDED,20.0000,-6.0000,-16.7,108.33,21.1100,0.027687,0.013254,0.002097,0.029444,0.016747,0.002564,0.033970,0.006394,0.087174,0.028510,0.998454,1273,474
43,2026-02-12 14:29:14,SUCCEEDED,27.0000,12.0000,68.7,108.00,20.9854,0.018335,0.029041,0.017354,0.023137,0.035079,0.021344,0.047132,0.006186,0.067780,0.028164,0.999608,1368,486
44,2026-02-12 14:33:16,SUCCEEDED,35.0000,25.0000,37.6,93.80,17.9827,0.015303,0.025543,0.060866,0.019000,0.032256,0.062077,0.072492,0.007445,0.123281,0.038826,0.996403,1222,443
45,2026-02-12 14:40:29,SUCCEEDED,20.0000,-6.0000,-16.7,114.47,21.6996,0.027715,0.010977,0.009377,0.029809,0.014508,0.011100,0.034961,0.007456,0.101243,0.031744,0.997637,1307,476
46,2026-02-12 14:44:44,SUCCEEDED,27.0000,12.0000,68.7,104.90,20.1194,0.014430,0.033024,0.029852,0.018403,0.039921,0.031163,0.053884,0.005679,0.073738,0.027505,0.999694,1293,469
47,2026-02-12 14:48:53,SUCCEEDED,35.0000,25.0000,37.6,95.83,18.1193,0.015216,0.028083,0.058664,0.019186,0.034705,0.059225,0.071275,0.009378,0.183683,0.053327,0.994766,1244,460
48,2026-02-12 14:52:11,ABORTED,34.0000,40.0000,106.7,74.10,8.1706,0.022531,0.013609,0.076060,0.025133,0.016774,0.076316,0.082080,0.006553,0.070390,0.028199,0.998226,982,364
49,2026-02-12 15:01:45,SUCCEEDED,20.0000,-6.0000,-16.7,114.67,21.5818,0.028532,0.010952,0.002434,0.030902,0.014628,0.003056,0.034326,0.006201,0.067307,0.028023,0.999558,1368,508
50,2026-02-12 15:06:17,SUCCEEDED,27.0000,12.0000,68.7,107.13,20.2622,0.019165,0.046642,0.013331,0.022384,0.051466,0.015437,0.058207,0.006559,0.049847,0.029110,1.000000,1310,504
51,2026-02-12 15:09:55,SUCCEEDED,35.0000,25.0000,37.6,84.50,16.6154,0.021953,0.042502,0.044619,0.026000,0.048376,0.045818,0.071523,0.007917,0.129730,0.043154,0.995339,1127,394
52,2026-02-12 15:12:31,ABORTED,34.0000,40.0000,106.7,60.70,7.6377,0.050930,0.025884,0.064249,0.052304,0.029479,0.064541,0.088149,0.004442,0.035951,0.019762,0.999999,775,286
53,2026-02-12 15:28:02,SUCCEEDED,20.0000,-6.0000,-16.7,111.33,21.5556,0.023788,0.014066,0.001432,0.026160,0.017802,0.001847,0.031696,0.005854,0.065383,0.026987,0.999733,1228,466
54,2026-02-12 15:32:11,SUCCEEDED,27.0000,12.0000,68.7,103.53,20.2222,0.013656,0.029830,0.006962,0.017247,0.037065,0.008729,0.041802,0.006396,0.063088,0.029690,0.999980,1290,456
55,2026-02-12 15:35:28,SUCCEEDED,35.0000,25.0000,37.6,83.40,16.5083,0.023175,0.020167,0.015669,0.027384,0.026459,0.016111,0.041346,0.010460,0.203945,0.061732,0.992921,1043,359
56,2026-02-12 15:38:42,SUCCEEDED,34.0000,40.0000,106.7,81.50,15.1635,0.011312,0.022610,0.020118,0.013155,0.025072,0.020279,0.034827,0.007842,0.071489,0.035653,0.999864,975,356
57,2026-02-12 15:44:56,ABORTED,14.0000,45.0000,171.5,158.20,22.7413,0.044852,0.084186,0.018745,0.050350,0.098094,0.021170,0.112275,0.017593,0.122906,0.074237,0.981048,1871,694
