run_id,timestamp,result,goal_x,goal_y,goal_yaw_deg,duration_sec,distance_traveled_m,loc_mean_abs_err_x_m,loc_mean_abs_err_y_m,loc_mean_abs_err_z_m,loc_rmse_x_m,loc_rmse_y_m,loc_rmse_z_m,loc_rmse_3d_m,depth_mean_abs_rel,depth_mean_rmse_m,depth_mean_mae_m,depth_mean_a1,num_pose_samples,num_depth_samples

11,2026-02-13 10:59:05,SUCCEEDED,20.0000,-6.0000,-16.7,113.20,21.2892,0.028361,0.015955,0.001778,0.034041,0.019155,0.002423,0.039136,0.005737,0.078589,0.025681,0.998854,2237,328
12,2026-02-13 11:04:39,SUCCEEDED,27.0000,12.0000,68.7,104.77,20.2489,0.012534,0.017538,0.013189,0.014525,0.021398,0.014787,0.029791,0.005542,0.058411,0.025096,0.999804,2414,361
13,2026-02-13 11:09:51,SUCCEEDED,35.0000,25.0000,37.6,96.37,18.2210,0.011410,0.025649,0.012609,0.014661,0.035167,0.014738,0.040852,0.006379,0.093514,0.029406,0.998774,2165,345
14,2026-02-13 11:14:57,SUCCEEDED,34.0000,40.0000,106.7,93.33,14.8808,0.030189,0.070067,0.029523,0.032369,0.071863,0.030119,0.084376,0.005959,0.077315,0.026096,0.998947,2360,314
15,2026-02-13 11:22:59,SUCCEEDED,14.0000,45.0000,171.5,148.90,29.0159,0.061502,0.096883,0.025332,0.064859,0.099606,0.025546,0.121575,0.006646,0.097120,0.030296,0.998921,3476,527

2,2026-02-13 14:10:29,SUCCEEDED,20.0000,-6.0000,-16.7,114.17,21.4893,0.020295,0.007536,0.001493,0.031649,0.012662,0.001951,0.034144,0.007589,0.086238,0.032738,0.998932,1396,502
3,2026-02-13 14:14:56,SUCCEEDED,27.0000,12.0000,68.7,108.07,20.4902,0.033397,0.022626,0.016700,0.039239,0.030738,0.020045,0.053725,0.007114,0.069038,0.031594,0.999736,1428,495
4,2026-02-13 14:18:57,SUCCEEDED,35.0000,25.0000,37.6,97.17,18.6710,0.018278,0.071781,0.029955,0.022197,0.086224,0.033045,0.094970,0.009133,0.113399,0.041547,0.998583,1271,447
5,2026-02-13 14:23:07,SUCCEEDED,34.0000,40.0000,106.7,100.57,15.9622,0.043226,0.116967,0.037722,0.045332,0.119064,0.038212,0.133009,0.009563,0.099611,0.040656,0.997718,1312,461
6,2026-02-13 14:28:43,ABORTED,14.0000,45.0000,171.5,124.27,22.9373,0.094876,0.134098,0.019814,0.117670,0.137035,0.032804,0.183578,0.009082,0.090478,0.040124,0.997593,1702,622
